Days	Dose	Induced	Ratio	Osteoimage RFU	DAPI
7	0	no	0.014022914	2125.643519	151583.5787
7	0	no	0.001348338	211.4212963	156801.3565
7	0	no	0.004294271	655.3101852	152601.0231
7	0	no	0.0102164	1383.532407	135422.6898
7	0.0048	no	0.006375678	923.1990741	144800.1343
7	0.0048	no	0.098221516	16836.64352	171415.0231
7	0.0048	no	0.007369003	1100.643519	149361.2454
7	0.0048	no	0.006956273	1109.865741	159548.912
7	0.024	no	0.003367889	527.6435185	156668.912
7	0.024	no	0.006479746	1033.976852	159570.5787
7	0.024	no	0.006466944	1012.532407	156570.4676
7	0.024	no	0.011583302	1852.75463	159950.4676
7	0.12	no	0.007552394	1369.421296	181322.8009
7	0.12	no	0.005295524	917.1990741	173202.6898
7	0.12	no	0.008810851	1478.310185	167782.912
7	0.12	no	0.00960677	1591.532407	165667.8009
7	0.6	no	0.011940119	2060.310185	172553.5787
7	0.6	no	0.012605395	2048.532407	162512.3565
7	0.6	no	0.014369016	2157.865741	150174.912
7	0.6	no	0.008912554	1343.865741	150783.4676
7	3	no	0.010582285	1250.976852	118214.2454
7	3	no	0.007613144	997.3101852	130998.4676
7	3	no	0.017101181	2498.532407	146102.912
7	3	no	0.011787222	1552.75463	131732.0231
7	15	no	0.033997862	2903.199074	85393.5787
7	15	no	0.010503186	671.8657407	63967.80093
7	15	no	0.020089759	1638.532407	81560.5787
7	15	no	0.029513565	1469.199074	49780.46759
7	15	no	0.014670217	982.1990741	66951.91204
7	15	no	0.021492587	1619.865741	75368.5787
17	0	no	0.033542938	10048.66667	299576.2222
17	0	no	0.069546493	29010.22222	417134.2222
17	0	no	0.044858212	10566.22222	235547.1111
17	0	no	0.028269672	12789.77778	452420.4444
17	0.0048	no	0.082202646	21339.22222	259592.8889
17	0.0048	no	0.13823378	51069.33333	369441.7778
17	0.0048	no	0.045011077	22712.44444	504596.7778
17	0.0048	no	0.077156587	19497.66667	252702.5556
17	0.024	no	0.132663935	19269.33333	145249.2222
17	0.024	no	0.124871448	31232.22222	250115
17	0.024	no	0.162620876	41278.11111	253830.3333
17	0.024	no	0.149701132	60741.66667	405752.8889
17	0.12	no	0.066130391	19550.33333	295633.1111
17	0.12	no	0.143370456	32514.55556	226787
17	0.12	no	0.066403601	22117.77778	333081
17	0.12	no	0.038158727	16035.11111	420221.3333
17	0.6	no	0.034229896	10226.88889	298770.6667
17	0.6	no	0.08570992	25801.66667	301034.7778
17	0.6	no	0.041774884	11727.33333	280726.8889
17	0.6	no	0.033127966	7829.555556	236342.7778
17	3	no	0.034242967	6571.666667	191912.8889
17	3	no	0.02670052	5103.777778	191149
17	3	no	0.051644379	8671.888889	167915.4444
17	3	no	0.032644627	6970.777778	213535.2222
17	15	no	0.015764212	1825	115768.5556
17	15	no	0.015740363	1456.333333	92522.22222
17	15	no	0.027202231	2649.222222	97389.88889
17	15	no	0.013813819	1376.111111	99618.44444
17	15	no	0.01567453	1362.555556	86928
17	15	no	0.012627329	1143.222222	90535.55556
21	0	no	0.065982819	18161.63889	275248
