Days	Dose	Induced	Ratio	Osteoimage RFUs	DAPI
14	0	no	0.062211816	9832	158036
14	0	no	0.018755364	3034	161744
14	0	no	0.021339017	4731	221692
14	0	no	0.013795655	3347	242582
14	0	no	0.005897774	1203	203979
14	0	no	0.01676587	2666	158988
14	0	no	0.017295443	3284	189878
14	0	no	0.017111046	2675	156339
14	0	no	0.015547248	3307	212686
14	0	no	0.007680253	1404	182780
14	0.0048	no	0.02298889	2893	125839
14	0.0048	no	0.016178275	2345	144969
14	0.0048	no	0.025052475	3647	145584
14	0.0048	no	0.015637039	2568	164220
14	0.0048	no	0.016018228	2642	164918
14	0.024	no	0.023505419	3620	153998
14	0.024	no	0.015699977	2538	161665
14	0.024	no	0.020024939	3760	187756
14	0.024	no	0.014797043	2253	152239
14	0.024	no	0.011967484	1802	150586
14	0.12	no	0.025101834	2975	118500
14	0.12	no	0.005819961	1108	190440
14	0.12	no	0.024325692	3595	147801
14	0.12	no	0.019077887	3187	167053
14	0.12	no	0.017600719	2597	147571
14	0.6	no	0.040154576	5159	128479
14	0.6	no	0.017500427	2416	138036
14	0.6	no	0.024806775	3024	121890
14	0.6	no	0.025343143	3024	119332
14	0.6	no	0.010537801	1369	129894
14	3	no	0.029081747	2657	91349
14	3	no	0.02536223	2403	94739
14	3	no	0.029487811	3096	104989
14	3	no	0.021749039	2489	114427
14	3	no	0.021160344	2827	133595
14	15	no	0.027095309	3335	123085
14	15	no	0.041500842	3804	91651
14	15	no	0.031799858	2710	85235
14	15	no	0.035383179	3136	88640
14	15	no	0.021434628	1844	86025
21	0	no	0.005619918	1581	281255
21	0	no	0.009759606	1934	198126
21	0	no	0.009630066	2202	228667
21	0	no	0.006981977	1170	167585
21	0	no	0.008372663	1688	201578
21	0	no	0.029360341	5911	201317
21	0	no	0.011432518	2576	225358
21	0	no	0.009345313	1843	197221
21	0	no	0.00797706	1648	206616
21	0	no	0.015251641	3099	203182
21	0.0048	no	0.014951911	3289	219955
21	0.0048	no	0.004607582	870	188860
21	0.0048	no	0.008442876	1700	201362
21	0.0048	no	0.004654402	944	202883
21	0.0048	no	0.004722632	976	206586
21	0.024	no	0.011522452	3397	294822
21	0.024	no	0.025961761	5133	197708
21	0.024	no	0.012818408	2729	212868
21	0.024	no	0.005097207	1011	198381
21	0.024	no	0.00489243	1065	217722
21	0.12	no	0.019488969	3485	178823
21	0.12	no	0.004682846	1002	213918
21	0.12	no	0.01217628	2350	193004
21	0.12	no	0.03846147	7977	207393
21	0.12	no	0.008158646	1547	189665
21	0.6	no	0.01454409	2768	190285
21	0.6	no	0.009755557	1657	169848
21	0.6	no	0.011161185	2032	182066
21	0.6	no	0.006971582	1314	188506
21	0.6	no	0.006434332	1369	212708
21	3	no	0.018469174	2296	124307
21	3	no	0.01204773	1433	118959
21	3	no	0.010256502	1181	115154
21	3	no	0.019575482	2220	113383
21	3	no	0.009405668	1097	116675
21	15	no	0.029741319	2096	70477
21	15	no	0.026438508	1774	67094
21	15	no	0.028510467	1945	68227
21	15	no	0.005477818	949	173157
21	15	no	0.023125372	1413	61105
28	0	no	0.052780178	9243	175120
28	0	no	0.083127412	16371	196944
28	0	no	0.272873437	48219	176707
28	0	no	0.052957479	11181	211127
28	0	no	0.044923791	8976	199802
28	0	no	0.096324249	18371	190722
28	0	no	0.098034916	19266	196521
28	0	no	0.108698017	25107	230979
28	0	no	0.071583505	13305	185868
28	0	no	0.044148061	8618	195196
28	0.0048	no	0.025220141	4087	162034
28	0.0048	no	0.019682955	3067	155813
28	0.0048	no	0.009017694	1474	163440
28	0.0048	no	0.033394305	5910	176975
28	0.0048	no	0.024246031	4258	175610
28	0.024	no	0.01197961	1708	142591
28	0.024	no	0.010574695	1843	174260
28	0.024	no	0.043361503	7726	178178
28	0.024	no	0.023506759	3776	160647
